2024-06-06 17:06:58.137363: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:06:58.906217: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:06:58.920997: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:06:59.403073: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:06:59.417618: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:06:59.786590: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:06:59.801355: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:07:36.222573: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:07:36.240186: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:09:46.011156: start
2024-06-06 17:09:56.929041: parameter 0, 1 < 0
2024-06-06 17:09:57.299742: parameter 1, 0 < 1
2024-06-06 17:09:57.611231: parameter 0, 2 < 0
2024-06-06 17:09:57.915928: parameter 0, 1 < 2
2024-06-06 17:09:58.204403: parameter 1, 2 < 1
2024-06-06 17:09:58.490476: parameter 1, 0 < 2
2024-06-06 17:09:58.782063: param 0, 3<2
2024-06-06 17:09:59.048300: parameter 0, 1 < 3
2024-06-06 17:09:59.328295: param 1, 3<2
2024-06-06 17:09:59.598234: parameter 1, 0 < 3
2024-06-06 17:09:59.850091: param 0, 4<2
2024-06-06 17:10:00.145890: parameter 0, 3 < 4
2024-06-06 17:10:00.399108: param 1, 4<2
2024-06-06 17:10:00.646119: parameter 1, 3 < 4
2024-06-06 17:10:00.910371: param 0, 5<4
2024-06-06 17:10:01.405814: parameter 0, 5 < 3
2024-06-06 17:10:01.688450: parameter 0, 1 < 5
2024-06-06 17:10:01.960541: param 1, 5<4
2024-06-06 17:10:02.270835: parameter 1, 3 < 5
2024-06-06 17:10:02.552715: param 0, 6<4
2024-06-06 17:10:02.845042: param 0, 5<6
2024-06-06 17:10:03.161079: parameter 0, 6 < 3
2024-06-06 17:10:03.475257: param 1, 4<6
2024-06-06 17:10:03.799796: parameter 1, 6 < 1
2024-06-06 17:10:04.087195: parameter 1, 2 < 6
